album_uuid,album_title,album_year,album_category,album_music_director,album_lyricist,album_label,album_rating
2af28734-652c-5781-9e80-81535039592a,Awara Shahzadi,1956,"Hindi, Film","Jimmy, Nashad","Khawar Zaman, Sartaj Rahmani",H.M.V.,0
887b53ed-4c5a-5d83-ae37-5d30de58954f,Ayodhyapati,1956,"Hindi, Film",Ravi,Saraswati Kumar Deepak,H.M.V.,0
95437a10-8bed-51f4-a8e3-9c54524a536a,Badal Aur Bijlee,1956,"Hindi, Film",Bipin - Babul,Anjum Jaipuri,H.M.V.,3.0
38f3c4d2-927c-5b8d-a736-86712677751d,Badshah Salamat,1956,"Hindi, Film",Bulo C. Rani,"Pyarelal Santoshi, Vinay Kumar - I, Shafiq Kanpuri, K. Razdan, Raja Mehdi Ali Khan",H.M.V.,0
6f46ab1e-42bb-5366-be6d-2d0db7be1ba3,Bagdad Ka Jadoo (Magic Of Bagdad),1956,"Hindi, Film",Shafi M. Nagri,Preetam Dehlvi,H.M.V.,0
76cffe10-7046-5aa8-b3d4-b40a2b75de90,Baghi Sardar,1956,"Hindi, Film",B.N. Bali,"Khalish Lakhnavi, Aziz Kashmiri, Bharat Vyas, S.H. Bihari",H.M.V.,0
a6c32c40-9f55-5e15-b553-1e84bd010350,Bandhan,1956,"Hindi, Film",Hemant Kumar,Rajendra Krishan,H.M.V.,0
3d67d2d6-6a17-5d0b-85da-b874f07afe36,Basant Bahar,1956,"Hindi, Film",Shankar - Jaikishan,"Shailendra, Hasrat Jaipuri",H.M.V.,0
eb8078ed-c427-584e-971c-7382a7d6970a,Basant Panchami,1956,"Hindi, Film",Chitragupt,Kavi Pradeep,H.M.V.,0
967a095c-a84c-56b4-bb95-80b79d2c24fc,Basre Ki Hoor,1956,"Hindi, Film",Chitragupt,Shewan Rizvi,H.M.V.,0
3b75d14d-eda0-5ee7-b702-dd8888338bb7,Bhagam Bhag,1956,"Hindi, Film",O.P. Nayyar,Majrooh Sultanpuri,H.M.V.,0
9621db86-0e0f-5b53-9190-256529559836,Bhai Bhai,1956,"Hindi, Film",Madan Mohan,Rajendra Krishan,H.M.V.,3.5
7a5275f8-11cb-5df4-881f-89ff299e56d0,C.I.D.,1956,"Hindi, Film",O.P. Nayyar,"Jan Nisar Akhtar, Majrooh Sultanpuri",H.M.V.,4.5
2fa8a654-46d1-5538-89e6-064e59f2dc64,Chand,1956,"Hindi, Film",Anil Biswas,Prem Dhawan,H.M.V.,0
f67e38bd-994e-5e23-b856-a0197050360a,Chandrakanta,1956,"Hindi, Film",Datta Naik,Sahir Ludhianvi,H.M.V.,0
a7b0995f-7339-579c-ae39-3d8cfa64f246,Char Minar,1956,"Hindi, Film",Sardul Kwatra,"Vishwamitra Adil, Verma Malik",H.M.V.,0
91d55170-d4cd-5405-a4df-aeb132ed516b,Chhoo Mantar,1956,"Hindi, Film",O.P. Nayyar,Jan Nisar Akhtar,H.M.V.,3.67
393a6885-da24-5732-b6a6-ef13148d113b,Chori Chori,1956,"Hindi, Film","Shankar - Jaikishan, Traditional","Hasrat Jaipuri, Shailendra",H.M.V.,4.0
24c4649b-b753-552c-872b-6f13180feb98,Dashera,1956,"Hindi, Film",Datta Naik,"Kavi Pradeep, Saraswati Kumar Deepak",H.M.V.,0
8256b35e-e1cc-570b-abc0-8f01d5fb4186,Devta,1956,"Hindi, Film",C. Ramchandra,Rajendra Krishan,H.M.V.,3.5
f1f89b79-9b09-5103-9876-3f3348ffbdfc,Dhake Ki Malmal,1956,"Hindi, Film","O.P. Nayyar, Robin Chatterjee","Jan Nisar Akhtar, D.N. Madhok, Saroj Mohini Nayyar",H.M.V.,3.0
54a0ab04-ba03-59e0-8039-248a1be686a7,Dhola Maru,1956,"Hindi, Film",S.K. Pal,Bharat Vyas,H.M.V.,0
1c435269-b5e6-52c5-abd2-e070d447bea4,Dilli Darbar (Delhi Darbar),1956,"Hindi, Film",S.N. Tripathi,"Hasrat Jaipuri, Shailendra",H.M.V.,0
bb7958bb-905d-5fae-b001-896b92a98123,Diwali Ki Raat,1956,"Hindi, Film",Snehal Bhatkar,"Pandit Phani, Naqsh Lyallpuri, Madhukar Rajasthani",H.M.V.,0
760274e6-272b-5793-9e9a-ad3850c0d0a2,Do Shazade,1956,"Hindi, Film",Lachhiram Tamar,"Pandit Gaafil, Sarshar Sailani",H.M.V.,0
f27b2146-6b3d-5150-82cd-048038a5d750,Durgesh Nandini,1956,"Hindi, Film",Hemant Kumar,Rajendra Krishan,H.M.V.,3.33
e438171a-6639-5088-b504-c3f0f5119d56,Dwarikadheesh,1956,"Hindi, Film",Avinash Vyas,Bharat Vyas,H.M.V.,0
7b455e0e-4483-5185-8521-570428ea3c5f,Ek Hi Rasta,1956,"Hindi, Film",Hemant Kumar,Majrooh Sultanpuri,H.M.V.,4.0
f9e247d7-f6d8-5072-9cdc-7a7265044fff,Fifty Fifty,1956,"Hindi, Film",Madan Mohan,Rajendra Krishan,H.M.V.,0
e34e99a4-28a7-5c02-aead-547399feb3e2,Fighting Queen,1956,"Hindi, Film",Nisar,Saba Afghani,H.M.V.,0
